Date,Artist,Track,MinPlayed
2020-04-04 18:16,Los Abuelos De La Nada,Mil Horas,0.044116666666666665
2020-04-04 18:16,Bob Marley & The Wailers,Africa Unite,0.040633333333333334
2020-04-04 18:16,Bob Marley & The Wailers,Could You Be Loved,0.20393333333333333
2020-04-04 18:16,Aaron Taylor,Home,0.48418333333333335
2020-04-04 18:18,Bob Marley & The Wailers,Could You Be Loved,1.7062666666666666
2020-04-04 18:20,Pappo,Juntos a la Par,2.68555
2020-04-04 18:24,Pappo,Rock and Roll y Fiebre,3.8651
2020-04-04 18:28,Luis Alberto Spinetta,Rezo por Vos (En Vivo) (feat. Charly García),4.101066666666667
2020-04-05 17:12,Queen,Another One Bites The Dust - Remastered 2011,3.7982
2020-04-05 17:13,The Beatles,Day Tripper - Remastered 2015,0.0030833333333333333
2020-04-05 17:13,Real Estate,Crime,0.006183333333333333
2020-04-05 17:13,Pescado Rabioso,Cementerio Club,0.0030833333333333333
2020-04-05 17:13,Tame Impala,Feels Like We Only Go Backwards,0.0085
2020-04-05 17:13,Eric Clapton,Before You Accuse Me,0.0030833333333333333
2020-04-05 17:13,Benji Hughes,Freaky Feedback Blues,0.0023166666666666665
2020-04-05 17:13,Eagles,Hotel California - 2013 Remaster,0.015866666666666668
2020-04-05 17:13,Aerosmith,Walk This Way,0.012383333333333333
2020-04-05 17:13,The Rolling Stones,Gimme Shelter,0.6056833333333334
2020-04-05 17:13,Pescado Rabioso,Superchería,0.0019333333333333333
2020-04-05 17:13,The Beatles,Get Back - Remastered 2009,0.0027
2020-04-05 17:13,Mo' Horizons,Ai Mi Morena - Club Des Belugas Remix,0.012383333333333333
2020-04-05 17:13,Allman Brothers Band,Ramblin' Man,0.0027
2020-04-05 17:19,Guns N' Roses,Sweet Child O' Mine,5.908666666666667
2020-04-05 17:24,Lynyrd Skynyrd,Sweet Home Alabama,4.73
2020-04-05 17:29,Invisible,Los Libros de la Buena Memoria,5.14555
2020-04-05 17:33,The Rolling Stones,Angie,4.533333333333333
2020-04-05 17:38,Charly García,Hablando a Tu Corazón,4.254433333333333
2020-04-05 17:41,Red Hot Chili Peppers,If You Have to Ask,3.61155
2020-04-05 17:45,Gorillaz,DARE,4.083316666666667
2020-04-05 17:51,Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),5.898216666666666
2020-04-05 17:56,AC/DC,Back In Black,4.258216666666667
2020-04-05 18:00,Ambrosia,Holdin' on to Yesterday,4.332216666666667
2020-04-05 18:04,El Mató a un Policía Motorizado,Más o Menos Bien,4.225333333333333
2020-04-05 18:10,The Rolling Stones,Coming Down Again - Remastered,5.9028833333333335
2020-04-05 18:15,Santana,Samba Pa Ti,4.746666666666667
2020-04-05 18:19,Granata,You Dont Need Me,4.2536
2020-04-05 18:23,Charly García,Nos Siguen Pegando Abajo,3.445333333333333
2020-04-05 18:26,Pink Floyd,One of My Turns,3.6133333333333333
2020-04-05 18:31,Sting,It's Probably Me,5.034
2020-04-05 18:32,Virus,Luna de Miel en la Mano,0.36196666666666666
2020-04-06 20:09,Virus,Luna de Miel en la Mano,0.17568333333333333
2020-04-06 20:12,HNNY,Sunday,3.0100166666666666
2020-04-06 20:15,Jungle,Drops,2.8937666666666666
2020-04-06 20:16,Jungle,Lemonade Lake,0.9878333333333333
2020-04-06 20:20,Loco por volverla a ver (Acustico) - LPDA,Loco por volverla a ver (Acustico) - Las pastillas del abuelo,4.597133333333334
2020-04-06 20:21,Dire Straits,Sultans Of Swing,0.018566666666666665
2020-04-06 20:21,The Beatles,Sun King - Remastered 2009,0.19195
2020-04-06 20:21,La Doctora II (Acústico),La Doctora II,0.0269
2020-04-06 20:21,Led Zeppelin,Whole Lotta Love - 1990 Remaster,0.20393333333333333
2020-04-06 20:25,Dire Straits,Walk Of Life,4.166
2020-04-06 20:32,Dire Straits,Money For Nothing,7.1094
2020-04-08 01:42,Dire Straits,Money For Nothing,0.021683333333333332
2020-04-08 01:42,Dire Straits,Brothers In Arms,0.021333333333333333
2020-04-08 01:48,Dire Straits,Romeo And Juliet,6.0111
2020-04-08 01:51,Dire Straits,Lady Writer,3.3992166666666668
